2024-02-16 12:34:36,904 INFO    MainThread:331685 [wandb_setup.py:_flush():76] Current SDK version is 0.16.3
2024-02-16 12:34:36,905 INFO    MainThread:331685 [wandb_setup.py:_flush():76] Configure stats pid to 331685
2024-02-16 12:34:36,905 INFO    MainThread:331685 [wandb_setup.py:_flush():76] Loading settings from /root/.config/wandb/settings
2024-02-16 12:34:36,905 INFO    MainThread:331685 [wandb_setup.py:_flush():76] Loading settings from /workspace/wandb/settings
2024-02-16 12:34:36,905 INFO    MainThread:331685 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-02-16 12:34:36,905 INFO    MainThread:331685 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-02-16 12:34:36,905 INFO    MainThread:331685 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'Haea_dev/models/dVAE/training/train.py', 'program_abspath': '/workspace/Haea_dev/models/dVAE/training/train.py', 'program': '/workspace/Haea_dev/models/dVAE/training/train.py'}
2024-02-16 12:34:36,905 INFO    MainThread:331685 [wandb_init.py:_log_setup():526] Logging user logs to /workspace/Haea_dev/models/dVAE/vqvae_logs/geopotential/wandb/run-20240216_123436-qw3tfjq3/logs/debug.log
2024-02-16 12:34:36,905 INFO    MainThread:331685 [wandb_init.py:_log_setup():527] Logging internal logs to /workspace/Haea_dev/models/dVAE/vqvae_logs/geopotential/wandb/run-20240216_123436-qw3tfjq3/logs/debug-internal.log
2024-02-16 12:34:36,905 INFO    MainThread:331685 [wandb_init.py:init():566] calling init triggers
2024-02-16 12:34:36,905 INFO    MainThread:331685 [wandb_init.py:init():573] wandb.init called with sweep_config: {}
config: {}
2024-02-16 12:34:36,905 INFO    MainThread:331685 [wandb_init.py:init():616] starting backend
2024-02-16 12:34:36,905 INFO    MainThread:331685 [wandb_init.py:init():620] setting up manager
2024-02-16 12:34:36,907 INFO    MainThread:331685 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-02-16 12:34:36,908 INFO    MainThread:331685 [wandb_init.py:init():628] backend started and connected
2024-02-16 12:34:36,910 INFO    MainThread:331685 [wandb_init.py:init():720] updated telemetry
2024-02-16 12:34:36,910 INFO    MainThread:331685 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-02-16 12:34:37,654 INFO    MainThread:331685 [wandb_run.py:_on_init():2262] communicating current version
2024-02-16 12:34:37,721 INFO    MainThread:331685 [wandb_run.py:_on_init():2271] got version response 
2024-02-16 12:34:37,721 INFO    MainThread:331685 [wandb_init.py:init():804] starting run threads in backend
2024-02-16 12:34:37,798 INFO    MainThread:331685 [wandb_run.py:_console_start():2241] atexit reg
2024-02-16 12:34:37,798 INFO    MainThread:331685 [wandb_run.py:_redirect():2096] redirect: wrap_raw
2024-02-16 12:34:37,799 INFO    MainThread:331685 [wandb_run.py:_redirect():2161] Wrapping output streams.
2024-02-16 12:34:37,799 INFO    MainThread:331685 [wandb_run.py:_redirect():2186] Redirects installed.
2024-02-16 12:34:37,800 INFO    MainThread:331685 [wandb_init.py:init():847] run started, returning control to user process
2024-02-16 12:34:38,077 INFO    MainThread:331685 [wandb_run.py:_config_callback():1343] config_cb None None {'train_variable': 'geopotential', 'learning_rate': 0.0005, 'lr_decay_rate': 0.98, 'kl_div_weight_scheduler': {'start': 0.0, 'end': 0.0, 'warmup': 0.1, 'cooldown': 0.2}, 'temperature_scheduler': {'start': 0.2, 'min': 0.01, 'anneal_rate': 1e-06}, 'batch_size': 256, 'max_epochs': 40, 'gradient_clip_val': 0.5, 'save_vis_every_n_step': 300, 'num_vis': 10}
2024-02-16 12:47:33,044 INFO    MainThread:331685 [wandb_run.py:_config_callback():1343] config_cb None None {'train_variable': 'geopotential', 'learning_rate': 0.0005, 'lr_decay_rate': 0.98, 'kl_div_weight_scheduler': {'start': 0.0, 'end': 0.0, 'warmup': 0.1, 'cooldown': 0.2}, 'temperature_scheduler': {'start': 0.2, 'min': 0.01, 'anneal_rate': 1e-06}, 'batch_size': 256, 'max_epochs': 40, 'gradient_clip_val': 0.5, 'save_vis_every_n_step': 300, 'num_vis': 10}
2024-02-16 12:47:49,278 WARNING MsgRouterThr:331685 [router.py:message_loop():77] message_loop has been closed
